item_code,model_name,item_category,phase_in_at,vertical_name,sku
48.98399,THE ROGER Pro,Shoes,2021-11-16T00:00:00Z,Performance All Day,THE ROGER Pro W Navy | Indigo
133.00322,Trail Breaker,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Trail Breaker M Navy | Black
133.00705,Trail Breaker,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Trail Breaker M Black
233.00278,Trail Breaker,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Trail Breaker W Dark | Black
233.00706,Trail Breaker,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Trail Breaker W Black
138.00455,Training Tank,Apparel,2022-05-12T00:00:00Z,Performance Running,Training Tank M Denim
138.00456,Training Tank,Apparel,2022-05-12T00:00:00Z,Performance Running,Training Tank M Olive
138.00688,Training Tank,Apparel,2022-05-12T00:00:00Z,Performance Running,Training Tank M Black
164.00519,Climate Jacket,Apparel,2021-09-21T00:00:00Z,Performance Running,Climate Jacket M Denim | Navy
164.00709,Climate Jacket,Apparel,2022-02-17T00:00:00Z,Performance Running,Climate Jacket M Black
264.00521,Climate Jacket,Apparel,2021-09-21T00:00:00Z,Performance Running,Climate Jacket W Denim | Navy
264.00708,Climate Jacket,Apparel,2022-02-17T00:00:00Z,Performance Running,Climate Jacket W Black
57.98995,Cloudboom Echo,Shoes,2021-06-22T00:00:00Z,Performance Running,Cloudboom Echo M White | Black
57.98994,Cloudboom Echo,Shoes,2021-06-22T00:00:00Z,Performance Running,Cloudboom Echo W White | Black
45.99229,Cloudflow Wide,Shoes,2021-07-08T00:00:00Z,Performance Running,Cloudflow Wide M Black | Asphalt
45.99228,Cloudflow Wide,Shoes,2021-07-08T00:00:00Z,Performance Running,Cloudflow Wide W Rock | Rose
26.99398,Cloudnova Wrap,Shoes,2021-04-15T00:00:00Z,Performance All Day,Cloudnova Wrap W Quicksilver | Flame
26.99397,Cloudnova Wrap,Shoes,2021-04-15T00:00:00Z,Performance All Day,Cloudnova Wrap W Leaf | Cumin
26.99175,Cloudnova Wrap,Shoes,2021-09-09T00:00:00Z,Performance All Day,Cloudnova Wrap W Raisin | Lavender
26.99176,Cloudnova Wrap,Shoes,2021-09-09T00:00:00Z,Performance All Day,Cloudnova Wrap W Evergreen | Citron
123.00153,Comfort Long-T,Apparel,2021-02-11T00:00:00Z,Performance All Day,Comfort Long-T M Black
123.00314,Comfort Long-T,Apparel,2021-02-18T00:00:00Z,Performance All Day,Comfort Long-T M Glacier
223.00264,Comfort Long-T,Apparel,2021-02-18T00:00:00Z,Performance All Day,Comfort Long-T W Black
223.00265,Comfort Long-T,Apparel,2021-02-11T00:00:00Z,Performance All Day,Comfort Long-T W Glacier
176.00482,Explorer Pants,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Pants M Vine
176.00483,Explorer Pants,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Pants M Navy
276.00484,Explorer Pants,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Pants W Hail
276.00485,Explorer Pants,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Pants W Flint
255.00243,Running Shorts,Apparel,2021-02-11T00:00:00Z,Performance Running,Running Shorts W Black
255.00244,Running Shorts,Apparel,2021-02-11T00:00:00Z,Performance Running,Running Shorts W Glacier | Black
255.00245,Running Shorts,Apparel,2021-02-11T00:00:00Z,Performance Running,Running Shorts W Cerulean | Black
255.00467,Running Shorts,Apparel,2022-02-17T00:00:00Z,Performance Running,Running Shorts W Twilight | Black
104.00297,Weather-Jacket,Apparel,2021-02-11T00:00:00Z,Performance Running,Weather-Jacket M Cerulean | Dark
104.00297,Weather Jacket,Apparel,2021-02-11T00:00:00Z,Performance Running,Weather-Jacket M Cerulean | Dark
104.00426,Weather-Jacket,Apparel,2022-03-31T00:00:00Z,Performance Running,Weather-Jacket M Niagara | Glacier
104.00426,Weather Jacket,Apparel,2022-03-31T00:00:00Z,Performance Running,Weather-Jacket M Niagara | Glacier
204.00248,Weather-Jacket,Apparel,2021-02-11T00:00:00Z,Performance Running,Weather Jacket W Black | Navy
204.00248,Weather Jacket,Apparel,2021-02-11T00:00:00Z,Performance Running,Weather Jacket W Black | Navy
204.00428,Weather-Jacket,Apparel,2022-03-03T00:00:00Z,Performance Running,Weather-Jacket W Surf | Sea
204.00428,Weather Jacket,Apparel,2022-03-03T00:00:00Z,Performance Running,Weather-Jacket W Surf | Sea
51.99067,Cloudflyer Wide,Shoes,2021-06-03T00:00:00Z,Performance Running,Cloudflyer Wide M Black | White
